Date-Hour(NMT),WindSpeed,Sunshine,AirPressure,Radiation,AirTemperature,RelativeAirHumidity,SystemProduction
17.07.2017-22:00,3.7,0,1011.3,-4.8,13.9,52,23.6667
17.07.2017-23:00,2.5,0,1011.8,-7.0,13.6,53,0.0
18.07.2017-00:00,1.3,0,1012.4,-8.2,12.2,60,0.0
18.07.2017-01:00,0.8,0,1012.7,-8.1,11.1,66,0.0
18.07.2017-02:00,1.0,0,1013.0,-8.2,10.0,73,0.0
18.07.2017-03:00,0.9,0,1013.4,-8.2,9.2,77,0.0
18.07.2017-04:00,0.6,0,1013.7,-3.3,8.9,80,0.0
18.07.2017-05:00,0.9,10,1014.1,24.5,9.5,78,0.0
18.07.2017-06:00,1.9,60,1014.1,157.8,13.2,62,0.0
18.07.2017-07:00,3.1,60,1014.0,285.8,15.3,54,130.6667
18.07.2017-08:00,2.6,60,1014.3,419.0,16.7,53,275.8334
18.07.2017-09:00,3.1,60,1014.5,539.6,18.4,44,1079.8334
18.07.2017-10:00,4.0,60,1014.6,650.3,19.7,41,2930.5001
18.07.2017-11:00,4.5,60,1014.7,758.0,20.8,40,4677.8334
18.07.2017-12:00,2.1,54,1014.6,793.3,21.8,34,6054.0
18.07.2017-13:00,1.4,41,1014.6,723.9,20.8,35,5305.8331
18.07.2017-14:00,1.2,2,1014.7,249.2,21.0,38,5387.0
18.07.2017-15:00,2.0,2,1014.6,205.3,20.9,39,2539.1665
18.07.2017-16:00,1.5,12,1014.3,302.8,21.6,36,4596.6666
18.07.2017-17:00,0.9,17,1014.2,305.7,22.6,36,3842.6666
18.07.2017-18:00,2.4,13,1014.5,228.0,20.7,41,1570.0
18.07.2017-19:00,2.3,12,1014.8,125.2,20.2,45,1598.8333
18.07.2017-20:00,2.4,38,1015.1,102.8,19.4,52,523.6666
18.07.2017-21:00,2.0,17,1015.7,25.3,17.9,56,284.6667
18.07.2017-22:00,2.4,0,1016.1,-5.6,15.7,70,25.0
18.07.2017-23:00,3.1,0,1016.5,-8.0,14.4,73,0.0
19.07.2017-00:00,3.5,0,1016.9,-7.6,14.3,65,0.0
19.07.2017-01:00,4.2,0,1017.1,-8.0,14.7,58,0.0
19.07.2017-02:00,6.4,0,1017.8,-7.5,14.8,55,0.0
19.07.2017-03:00,4.7,0,1018.3,-6.9,14.5,54,0.0
19.07.2017-04:00,4.6,0,1018.6,-2.1,13.8,57,0.0
19.07.2017-05:00,4.4,0,1018.9,27.6,13.8,58,0.0
19.07.2017-06:00,3.8,26,1019.5,129.2,14.4,56,45.8333
19.07.2017-07:00,3.0,30,1019.9,215.0,14.9,53,451.6667
19.07.2017-08:00,2.1,29,1019.8,246.1,15.9,51,441.8333
19.07.2017-09:00,2.3,60,1019.6,534.3,17.6,54,1423.6667
19.07.2017-10:00,2.4,60,1019.5,573.4,17.7,45,2361.1666
19.07.2017-11:00,1.9,6,1018.9,430.9,18.2,48,3674.1666
19.07.2017-12:00,2.7,8,1018.6,524.4,19.2,48,6079.3332
19.07.2017-13:00,1.7,17,1018.1,602.2,21.1,43,5016.6669
19.07.2017-14:00,2.4,60,1017.5,749.6,21.3,45,5383.1666
19.07.2017-15:00,2.3,60,1017.0,714.0,21.4,43,5391.3334
19.07.2017-16:00,2.0,60,1016.4,615.7,21.8,41,2670.3334
19.07.2017-17:00,2.6,60,1016.0,497.1,21.2,43,4253.0
19.07.2017-18:00,2.1,60,1015.8,367.7,20.8,44,2648.0
19.07.2017-19:00,1.7,60,1015.7,236.0,21.0,44,2611.6666
19.07.2017-20:00,1.1,60,1015.6,119.7,19.0,51,1326.3333
19.07.2017-21:00,1.3,39,1015.8,27.0,16.5,64,379.4999
19.07.2017-22:00,2.9,0,1015.8,-6.4,14.6,73,71.6667
19.07.2017-23:00,1.6,0,1015.8,-7.7,13.7,78,0.0
20.07.2017-00:00,2.7,0,1015.9,-7.7,13.0,81,0.0
20.07.2017-01:00,2.8,0,1015.9,-7.4,12.6,82,0.0
20.07.2017-02:00,1.7,0,1015.7,-7.3,12.3,84,0.0
20.07.2017-03:00,2.2,0,1015.2,-8.6,11.9,88,0.0
20.07.2017-04:00,3.0,0,1015.3,-3.3,11.4,91,0.0
20.07.2017-05:00,1.6,10,1014.9,23.0,12.4,84,0.0
20.07.2017-06:00,1.6,60,1014.6,143.6,14.4,78,0.0
20.07.2017-07:00,1.0,60,1014.4,268.2,17.7,63,138.4167
20.07.2017-08:00,0.9,60,1014.2,401.0,19.2,55,291.6666
20.07.2017-09:00,2.1,60,1014.1,526.3,20.2,49,984.6667
20.07.2017-10:00,2.1,60,1013.7,637.2,21.5,48,2975.6666
20.07.2017-11:00,2.4,60,1013.3,723.1,23.1,42,4543.3334
20.07.2017-12:00,1.8,60,1012.9,777.4,24.2,36,5836.0
20.07.2017-13:00,3.1,60,1012.4,790.0,23.8,38,6987.3332
20.07.2017-14:00,2.4,60,1011.8,765.1,25.0,39,5354.3333
20.07.2017-15:00,3.1,60,1011.4,706.6,25.7,36,6906.8334
20.07.2017-16:00,3.0,60,1011.0,615.9,24.9,35,6367.3332
20.07.2017-17:00,2.8,60,1010.7,500.2,25.0,34,5149.1665
20.07.2017-18:00,2.3,60,1010.5,372.3,24.2,36,3218.5
20.07.2017-19:00,2.1,60,1010.5,218.4,23.5,37,2733.8333
20.07.2017-20:00,1.9,60,1010.7,130.6,22.3,42,1299.3333
20.07.2017-21:00,0.4,38,1011.0,28.9,20.8,52,294.1667
20.07.2017-22:00,1.9,0,1011.4,-6.6,20.6,41,40.0
20.07.2017-23:00,1.4,0,1011.8,-9.1,18.9,44,0.0
21.07.2017-00:00,1.7,0,1012.3,-9.3,16.1,61,0.0
21.07.2017-01:00,2.7,0,1012.6,-8.2,15.2,62,0.0
21.07.2017-02:00,2.9,0,1012.7,-7.3,15.4,58,0.0
21.07.2017-03:00,3.4,0,1012.6,-7.5,14.8,61,0.0
21.07.2017-04:00,2.6,0,1012.8,-0.3,14.1,65,0.0
21.07.2017-05:00,2.9,10,1013.0,36.6,14.8,65,0.0
21.07.2017-06:00,2.1,33,1013.2,153.3,17.2,61,185.0
21.07.2017-07:00,2.0,20,1013.4,219.4,18.0,57,571.5
21.07.2017-08:00,1.8,0,1014.1,183.3,17.9,59,1289.1667
21.07.2017-09:00,1.8,0,1014.7,190.7,18.3,60,2190.1667
21.07.2017-10:00,1.9,0,1015.2,224.2,19.0,61,2736.0
21.07.2017-11:00,1.8,0,1015.6,259.7,19.3,64,2266.3333
21.07.2017-12:00,2.0,0,1016.1,310.5,19.7,61,2828.1666
21.07.2017-13:00,3.3,0,1016.4,272.9,19.8,61,2812.6666
21.07.2017-14:00,5.5,0,1017.0,358.8,18.8,57,2968.1667
21.07.2017-15:00,4.1,0,1017.4,204.8,18.1,59,2519.6667
21.07.2017-16:00,4.1,0,1017.4,243.2,18.3,58,2713.8333
21.07.2017-17:00,2.6,0,1017.6,228.9,18.1,64,2746.5
21.07.2017-18:00,2.8,0,1017.7,119.1,17.4,65,1793.6666
21.07.2017-19:00,1.3,0,1018.2,86.8,16.9,69,1422.0
21.07.2017-20:00,2.2,0,1018.4,46.8,16.5,69,739.3333
21.07.2017-21:00,1.8,0,1018.8,4.4,16.0,70,240.3332
21.07.2017-22:00,3.0,0,1018.8,-5.1,16.0,69,6.3333
21.07.2017-23:00,1.3,0,1018.7,-6.0,15.6,69,0.0
22.07.2017-00:00,1.4,0,1018.9,-7.7,15.2,76,0.0
22.07.2017-01:00,0.4,0,1019.2,-7.4,14.9,79,0.0
22.07.2017-02:00,1.5,0,1019.4,-7.2,14.7,80,0.0
22.07.2017-03:00,1.5,0,1019.4,-7.7,14.6,82,0.0
22.07.2017-04:00,1.9,0,1019.5,-4.3,14.5,83,0.0
22.07.2017-05:00,1.4,0,1019.8,9.0,14.7,83,0.0
22.07.2017-06:00,0.8,0,1020.1,28.9,15.1,84,26.75
22.07.2017-07:00,0.7,0,1019.9,124.8,16.5,74,277.6666
22.07.2017-08:00,1.5,20,1020.2,257.9,17.6,72,796.6667
22.07.2017-09:00,0.9,20,1020.1,301.8,18.7,62,1264.0001
22.07.2017-10:00,1.8,60,1020.1,674.9,20.8,56,3494.8333
22.07.2017-11:00,2.8,60,1019.9,733.8,21.4,49,2525.0
22.07.2017-12:00,3.6,60,1019.8,747.4,22.0,48,3216.5
22.07.2017-13:00,2.6,60,1019.5,781.8,23.7,45,2757.5
22.07.2017-14:00,3.5,60,1019.3,722.3,23.6,41,2648.5001
22.07.2017-15:00,3.1,60,1018.9,707.1,23.9,38,6062.3334
22.07.2017-16:00,2.7,60,1018.6,560.2,23.9,39,3309.8334
22.07.2017-17:00,1.0,60,1018.2,476.6,24.0,40,2460.9999
22.07.2017-18:00,2.0,57,1018.2,251.2,22.2,42,2165.6667
22.07.2017-19:00,1.7,60,1018.0,201.5,22.2,43,2398.8334
22.07.2017-20:00,1.7,45,1018.1,99.7,20.8,48,1131.5
22.07.2017-21:00,1.7,9,1018.5,19.1,18.8,60,388.3334
22.07.2017-22:00,2.4,0,1018.6,-5.8,17.0,65,33.3333
22.07.2017-23:00,3.4,0,1018.7,-7.6,16.9,70,0.0
23.07.2017-00:00,0.6,0,1018.8,-7.6,15.5,77,0.0
23.07.2017-01:00,0.6,0,1018.6,-9.2,15.2,78,0.0
23.07.2017-02:00,0.7,0,1018.5,-9.2,14.2,84,0.0
23.07.2017-03:00,1.5,0,1018.4,-8.4,14.4,84,0.0
23.07.2017-04:00,2.3,0,1018.0,-2.3,15.2,78,0.0
23.07.2017-05:00,0.8,0,1018.0,12.0,14.2,86,0.0
23.07.2017-06:00,2.8,37,1017.5,122.4,17.5,65,0.0
23.07.2017-07:00,1.7,18,1017.6,162.6,18.5,64,104.1667
23.07.2017-08:00,1.8,58,1017.3,311.7,20.4,57,542.6667
23.07.2017-09:00,1.5,60,1017.2,515.2,22.3,51,1104.3333
23.07.2017-10:00,1.4,60,1016.7,680.9,23.5,44,2572.6667
23.07.2017-11:00,2.5,60,1016.5,668.5,23.9,41,3765.6668
23.07.2017-12:00,2.1,60,1015.9,758.3,25.2,39,5874.1666
23.07.2017-13:00,1.3,60,1015.4,784.1,26.2,37,6740.8334
23.07.2017-14:00,1.1,57,1014.7,749.3,27.1,33,6969.1666
23.07.2017-15:00,3.7,7,1014.6,190.8,23.4,40,3886.6667
23.07.2017-16:00,2.2,0,1014.2,38.8,22.7,42,973.6666
23.07.2017-17:00,2.5,0,1013.9,51.8,22.6,46,630.4999
23.07.2017-18:00,2.8,0,1013.7,81.4,22.6,46,751.9999
23.07.2017-19:00,2.8,0,1013.8,53.4,21.9,52,706.1667
23.07.2017-20:00,3.5,0,1014.1,19.2,20.6,54,363.0
23.07.2017-21:00,4.4,0,1014.3,-0.2,19.9,60,60.6667
23.07.2017-22:00,3.0,0,1014.8,-6.6,18.9,66,0.0
23.07.2017-23:00,3.6,0,1014.9,-7.3,17.4,79,0.0
24.07.2017-00:00,4.3,0,1014.7,-6.2,17.4,76,0.0
24.07.2017-01:00,1.8,0,1014.6,-6.2,17.4,75,0.0
24.07.2017-02:00,4.1,0,1014.9,-6.4,17.1,77,0.0
24.07.2017-03:00,4.6,0,1014.8,-6.6,16.6,79,0.0
24.07.2017-04:00,3.8,0,1014.7,-5.2,16.0,83,0.0
24.07.2017-05:00,3.5,0,1015.2,3.7,15.4,84,0.0
24.07.2017-06:00,3.4,0,1015.5,25.2,15.1,79,0.0
24.07.2017-07:00,3.9,0,1015.5,93.1,15.1,75,257.8334
24.07.2017-08:00,3.8,0,1015.6,159.4,15.4,72,756.0
24.07.2017-09:00,3.0,0,1015.7,241.4,16.7,65,1792.0
24.07.2017-10:00,4.6,0,1015.9,266.4,17.0,64,1782.8334
24.07.2017-11:00,4.1,0,1015.9,319.2,17.1,65,2275.5
24.07.2017-12:00,3.2,0,1015.8,311.5,18.0,64,2838.8333
24.07.2017-13:00,2.8,0,1015.6,302.0,18.6,61,3228.0001
24.07.2017-14:00,2.9,37,1015.1,532.1,20.1,55,4745.3334
24.07.2017-15:00,3.8,58,1014.8,699.0,20.7,52,6038.3332
24.07.2017-16:00,3.1,12,1014.6,343.2,20.4,49,5188.6666
24.07.2017-17:00,3.3,10,1014.3,225.0,20.2,48,3313.5001
24.07.2017-18:00,2.9,0,1014.0,156.2,20.0,50,1301.6667
24.07.2017-19:00,3.1,0,1014.1,73.6,19.5,54,794.6667
24.07.2017-20:00,2.8,0,1014.2,30.0,18.9,57,500.6667
24.07.2017-21:00,3.5,0,1014.5,2.2,18.2,61,122.0
24.07.2017-22:00,4.0,0,1014.6,-6.5,17.8,64,0.0
24.07.2017-23:00,4.3,0,1014.6,-6.9,17.4,64,0.0
25.07.2017-00:00,3.1,0,1014.4,-7.1,17.0,64,0.0
25.07.2017-01:00,3.2,0,1014.4,-7.5,16.7,65,0.0
25.07.2017-02:00,3.5,0,1014.5,-8.0,16.2,68,0.0
25.07.2017-03:00,4.2,0,1014.4,-7.5,15.9,68,0.0
25.07.2017-04:00,3.6,0,1014.1,-3.6,15.9,68,0.0
25.07.2017-05:00,1.8,5,1014.1,15.4,15.5,71,0.0
25.07.2017-06:00,1.0,49,1014.2,105.4,15.3,78,0.0
25.07.2017-07:00,0.4,60,1013.8,246.7,19.5,59,99.5
25.07.2017-08:00,2.9,60,1013.6,379.7,19.9,54,434.8333
25.07.2017-09:00,2.9,60,1013.3,508.8,20.8,53,825.6667
25.07.2017-10:00,3.7,60,1012.8,633.5,21.6,51,2716.0001
25.07.2017-11:00,3.4,60,1012.5,672.8,22.7,48,4331.3334
25.07.2017-12:00,4.0,44,1012.1,679.2,22.6,47,5538.5
25.07.2017-13:00,4.4,43,1011.7,685.8,23.6,42,5448.0
25.07.2017-14:00,4.2,24,1011.5,395.7,22.4,49,5696.6666
25.07.2017-15:00,3.0,17,1011.3,297.3,22.0,54,3567.5
25.07.2017-16:00,3.5,8,1011.1,166.8,22.5,51,2090.6667
25.07.2017-17:00,3.5,60,1010.8,431.1,22.6,49,1539.8334
25.07.2017-18:00,3.1,59,1010.6,319.7,22.4,48,1438.8332
25.07.2017-19:00,1.9,60,1010.4,226.7,22.2,51,2541.3333
25.07.2017-20:00,3.9,60,1010.8,139.1,21.4,53,695.5
25.07.2017-21:00,1.6,13,1011.1,17.0,19.5,62,370.5
25.07.2017-22:00,2.7,0,1011.2,-5.8,18.6,67,31.8334
25.07.2017-23:00,2.8,0,1011.0,-6.9,18.9,64,0.0
26.07.2017-00:00,2.3,0,1010.9,-7.1,18.1,71,0.0
26.07.2017-01:00,1.7,0,1010.9,-7.0,17.9,71,0.0
26.07.2017-02:00,2.0,0,1011.0,-6.8,17.8,72,0.0
26.07.2017-03:00,2.7,0,1011.0,-7.1,17.1,82,0.0
26.07.2017-04:00,2.6,0,1011.0,-6.1,15.8,95,0.0
26.07.2017-05:00,2.2,0,1011.0,4.3,15.7,93,0.0
26.07.2017-06:00,2.7,0,1010.3,69.3,16.3,85,69.6667
26.07.2017-07:00,2.7,9,1009.9,190.6,17.4,77,488.1666
26.07.2017-08:00,2.5,0,1009.4,203.0,17.7,73,1066.8332
26.07.2017-09:00,2.6,4,1009.2,274.8,18.6,67,1866.5001
26.07.2017-10:00,1.0,19,1008.7,389.6,19.7,58,3483.0001
26.07.2017-11:00,1.9,0,1008.5,251.9,19.9,60,2708.8333
26.07.2017-12:00,2.6,5,1007.9,378.6,20.9,57,2470.8333
26.07.2017-13:00,1.9,0,1007.7,223.6,20.2,57,2018.8334
26.07.2017-14:00,0.9,0,1007.3,98.0,20.4,58,1903.0
26.07.2017-15:00,1.8,0,1006.8,131.2,20.6,59,942.8333
26.07.2017-16:00,1.6,0,1006.4,207.1,21.1,61,674.8334
26.07.2017-17:00,1.7,5,1006.0,210.8,20.9,59,833.9999
26.07.2017-18:00,3.0,2,1005.8,178.3,20.6,61,1095.8334
26.07.2017-19:00,1.9,0,1005.6,58.8,20.0,61,869.8334
26.07.2017-20:00,2.3,0,1005.5,59.4,19.6,64,802.8333
26.07.2017-21:00,1.0,0,1005.7,4.1,18.7,71,225.0
26.07.2017-22:00,1.9,0,1005.6,-8.0,16.9,83,2.3333
26.07.2017-23:00,2.7,0,1005.7,-8.7,15.8,84,0.0
27.07.2017-00:00,2.8,0,1005.2,-6.8,16.4,79,0.0
27.07.2017-01:00,1.8,0,1004.8,-6.4,16.6,77,0.0
27.07.2017-02:00,1.2,0,1004.5,-7.2,16.7,77,0.0
27.07.2017-03:00,1.2,0,1004.0,-7.4,16.5,78,0.0
27.07.2017-04:00,1.0,0,1003.5,-7.1,16.5,77,0.0
27.07.2017-05:00,1.3,0,1003.4,7.3,16.2,81,0.0
27.07.2017-06:00,0.9,0,1003.3,19.2,16.3,82,0.0
27.07.2017-07:00,1.1,0,1003.1,29.3,16.1,91,0.0
27.07.2017-08:00,1.4,0,1002.9,112.6,17.1,85,539.8333
27.07.2017-09:00,1.5,1,1002.4,208.8,18.1,76,1240.6667
27.07.2017-10:00,0.8,1,1002.0,351.2,19.6,70,2129.8333
27.07.2017-11:00,2.1,0,1002.0,258.7,19.3,70,3648.0
27.07.2017-12:00,2.5,0,1002.0,230.4,19.5,68,2878.8333
27.07.2017-13:00,2.7,0,1002.0,286.6,19.5,68,2238.0001
27.07.2017-14:00,3.1,0,1002.1,95.7,18.9,65,1928.8334
27.07.2017-15:00,1.7,0,1002.2,159.4,17.2,89,1577.9999
27.07.2017-16:00,0.5,0,1001.8,215.0,17.9,87,808.3333
27.07.2017-17:00,1.1,0,1001.8,151.9,17.8,84,1156.1667
27.07.2017-18:00,1.6,0,1001.8,69.4,17.2,83,1054.0
27.07.2017-19:00,1.4,0,1001.6,48.4,17.3,81,586.1666
27.07.2017-20:00,1.5,0,1001.4,10.5,15.8,95,378.6667
27.07.2017-21:00,0.8,0,1001.6,-1.8,15.1,99,49.5001
27.07.2017-22:00,0.5,0,1001.3,-5.6,15.4,100,0.0
27.07.2017-23:00,1.6,0,1001.6,-4.4,14.9,99,0.0
28.07.2017-00:00,2.4,0,1001.6,-4.1,14.3,100,0.0
28.07.2017-01:00,1.0,0,1001.4,-4.8,13.9,100,0.0
28.07.2017-02:00,2.1,0,1001.1,-5.0,13.9,100,0.0
28.07.2017-03:00,1.1,0,1001.2,-5.5,14.0,100,0.0
28.07.2017-04:00,0.7,0,1001.2,-5.3,13.9,100,0.0
28.07.2017-05:00,1.8,0,1001.2,3.5,13.9,97,0.0
28.07.2017-06:00,1.3,0,1001.2,27.1,14.1,99,0.0
28.07.2017-07:00,1.0,3,1001.4,74.1,14.4,97,246.5
28.07.2017-08:00,2.6,18,1001.5,260.7,16.0,85,563.6666
28.07.2017-09:00,3.3,53,1001.7,401.4,16.4,79,1539.8334
28.07.2017-10:00,2.9,58,1001.7,611.8,18.6,65,2014.3333
28.07.2017-11:00,4.7,60,1001.9,680.6,19.0,52,3310.4999
28.07.2017-12:00,4.4,59,1001.8,744.8,20.5,51,4812.1666
28.07.2017-13:00,5.0,60,1001.7,798.7,20.4,48,4947.9998
28.07.2017-14:00,5.5,60,1002.1,758.6,20.0,50,6539.9998
28.07.2017-15:00,5.6,59,1002.5,690.7,19.6,49,7052.6666
28.07.2017-16:00,4.7,46,1002.6,461.0,18.9,54,6817.8334
28.07.2017-17:00,6.0,19,1002.7,213.5,18.4,56,5845.3336
28.07.2017-18:00,5.4,53,1003.0,301.5,17.8,60,4447.3333
28.07.2017-19:00,4.2,41,1003.3,165.2,17.0,64,2245.5
28.07.2017-20:00,4.1,21,1003.6,61.8,16.4,69,994.6667
28.07.2017-21:00,3.6,1,1004.0,7.6,15.5,75,248.0
28.07.2017-22:00,2.4,0,1004.1,-6.3,14.5,81,2.5
28.07.2017-23:00,2.7,0,1004.4,-7.1,14.2,84,0.0
29.07.2017-00:00,2.8,0,1004.5,-7.0,13.9,88,0.0
29.07.2017-01:00,1.2,0,1004.7,-7.0,13.2,94,0.0
29.07.2017-02:00,1.8,0,1004.4,-6.8,13.5,92,0.0
29.07.2017-03:00,2.1,0,1004.5,-6.8,13.1,95,0.0
29.07.2017-04:00,1.6,0,1004.3,-4.6,13.0,96,0.0
29.07.2017-05:00,0.8,1,1004.3,17.5,13.1,96,0.0
29.07.2017-06:00,1.5,10,1004.2,94.6,13.7,92,114.25
29.07.2017-07:00,1.7,19,1004.3,171.9,14.7,83,431.4999
29.07.2017-08:00,1.6,46,1004.6,276.4,15.6,81,711.6667
29.07.2017-09:00,2.1,34,1004.5,302.2,15.7,80,1015.6667
29.07.2017-10:00,2.9,19,1004.6,259.5,17.0,70,954.8333
29.07.2017-11:00,2.6,12,1004.6,271.5,17.1,73,1685.3333
29.07.2017-12:00,4.8,6,1004.5,372.8,17.1,71,1176.5
29.07.2017-13:00,4.4,17,1004.2,499.1,19.2,59,1166.3333
29.07.2017-14:00,2.9,1,1004.0,271.0,18.6,65,1734.6666
29.07.2017-15:00,1.6,56,1003.4,544.8,19.9,55,1474.1666
29.07.2017-16:00,1.5,37,1003.1,405.4,21.0,49,4620.3333
29.07.2017-17:00,2.4,9,1003.2,213.9,18.7,63,3393.8333
29.07.2017-18:00,2.7,0,1003.4,97.8,17.9,63,992.5
29.07.2017-19:00,2.4,0,1003.2,41.2,17.1,70,401.5
29.07.2017-20:00,2.2,0,1003.5,9.6,16.4,77,183.3334
29.07.2017-21:00,3.4,0,1003.6,-3.8,14.8,84,24.0
29.07.2017-22:00,2.9,0,1003.6,-6.3,14.4,89,0.0
29.07.2017-23:00,2.5,0,1003.9,-5.9,14.4,90,0.0
30.07.2017-00:00,2.2,0,1003.9,-6.0,14.5,91,0.0
30.07.2017-01:00,1.5,0,1004.4,-6.2,14.5,92,0.0
30.07.2017-02:00,0.8,0,1004.6,-6.8,14.4,93,0.0
30.07.2017-03:00,1.7,0,1004.6,-6.2,14.6,90,0.0
30.07.2017-04:00,1.0,0,1004.7,-5.6,14.3,89,0.0
30.07.2017-05:00,0.6,0,1004.7,4.5,14.5,92,0.0
30.07.2017-06:00,0.9,0,1004.9,23.0,15.1,89,35.75
30.07.2017-07:00,1.2,0,1005.2,22.4,15.1,91,310.3333
30.07.2017-08:00,1.5,0,1005.4,42.4,15.4,90,459.6667
30.07.2017-09:00,1.7,0,1005.5,136.1,15.9,83,644.3333
30.07.2017-10:00,0.8,5,1005.3,266.3,17.7,78,1076.8333
30.07.2017-11:00,2.5,11,1005.3,356.5,18.7,69,2798.1667
30.07.2017-12:00,4.2,11,1004.9,440.0,19.2,57,3085.9999
30.07.2017-13:00,3.9,24,1004.7,534.6,19.1,60,4000.6668
30.07.2017-14:00,3.0,0,1004.6,331.5,18.6,59,3338.6668
30.07.2017-15:00,2.4,1,1004.4,249.1,18.3,66,2956.3332
30.07.2017-16:00,1.4,0,1003.8,150.7,18.2,65,1372.8333
30.07.2017-17:00,2.0,0,1003.7,70.9,17.5,67,1356.1666
30.07.2017-18:00,1.1,0,1003.6,61.8,15.6,94,351.6666
30.07.2017-19:00,3.1,0,1003.0,14.3,15.1,93,411.3333
30.07.2017-20:00,4.3,0,1001.8,1.4,15.5,90,91.5
30.07.2017-21:00,2.7,0,1001.7,-2.5,15.0,96,12.8333
30.07.2017-22:00,1.5,0,1001.3,-4.1,15.1,95,0.0
30.07.2017-23:00,0.9,0,1001.4,-4.8,15.0,99,0.0
31.07.2017-00:00,0.9,0,1001.1,-5.7,15.4,100,0.0
31.07.2017-01:00,3.4,0,1001.1,-6.2,15.1,98,0.0
31.07.2017-02:00,3.5,0,1001.4,-5.3,14.8,98,0.0
31.07.2017-03:00,4.1,0,1001.9,-5.0,14.0,94,0.0
31.07.2017-04:00,3.8,0,1002.0,-5.1,13.6,94,0.0
31.07.2017-05:00,2.0,0,1002.3,-0.2,13.7,94,0.0
31.07.2017-06:00,3.8,0,1003.1,18.3,13.8,92,0.0
31.07.2017-07:00,3.8,0,1003.5,84.4,14.4,85,22.3333
31.07.2017-08:00,5.3,27,1003.9,266.2,16.1,76,217.1667
31.07.2017-09:00,3.5,52,1004.6,446.2,17.5,71,730.1666
31.07.2017-10:00,5.8,60,1005.0,628.5,18.1,65,2562.1667
31.07.2017-11:00,6.7,56,1005.3,665.3,18.9,59,3767.4999
31.07.2017-12:00,5.9,35,1005.5,645.5,19.7,56,5274.3334
31.07.2017-13:00,5.3,37,1005.8,613.4,19.5,54,6953.0
31.07.2017-14:00,6.1,43,1005.7,684.8,21.0,55,7170.8334
31.07.2017-15:00,6.4,21,1006.4,286.3,18.4,65,4708.6668
31.07.2017-16:00,1.0,0,1007.5,87.4,15.1,92,2918.4999
31.07.2017-17:00,2.8,3,1007.7,183.2,16.3,84,1462.3333
31.07.2017-18:00,4.7,0,1008.1,72.2,15.5,82,3619.0
31.07.2017-19:00,1.9,14,1008.1,115.6,15.6,86,1293.6667
31.07.2017-20:00,3.5,0,1008.3,18.1,16.1,91,758.1666
31.07.2017-21:00,4.2,0,1008.8,-1.6,15.4,82,173.6666
31.07.2017-22:00,2.5,0,1008.9,-6.5,14.8,93,0.0
31.07.2017-23:00,4.2,0,1009.1,-6.2,14.9,95,0.0
01.08.2017-00:00,4.1,0,1009.2,-6.0,15.1,92,0.0
01.08.2017-01:00,3.2,0,1009.5,-6.0,14.5,90,0.0
01.08.2017-02:00,3.3,0,1009.4,-6.5,13.7,90,0.0
01.08.2017-03:00,2.9,0,1010.0,-6.6,13.8,91,0.0
01.08.2017-04:00,1.9,0,1010.2,-5.3,13.3,92,0.0
01.08.2017-05:00,2.0,0,1010.7,9.3,13.0,94,0.0
01.08.2017-06:00,2.9,0,1011.2,35.9,13.3,93,140.5
01.08.2017-07:00,1.9,12,1011.8,123.8,14.0,88,314.8333
01.08.2017-08:00,1.8,1,1012.2,156.4,14.7,84,518.3333
01.08.2017-09:00,3.0,28,1012.4,293.4,16.3,72,1277.8333
01.08.2017-10:00,3.1,47,1012.3,492.7,18.8,60,1772.1667
01.08.2017-11:00,5.2,55,1012.7,711.0,18.2,65,4445.0002
01.08.2017-12:00,3.9,48,1012.4,680.9,18.8,58,6147.0
01.08.2017-13:00,4.3,21,1012.3,532.5,19.8,56,5934.3334
01.08.2017-14:00,5.6,22,1012.7,458.4,17.2,79,6985.8332
01.08.2017-15:00,3.6,15,1012.6,371.4,18.8,76,1844.8334
01.08.2017-16:00,4.0,23,1012.7,362.0,17.6,73,3412.1667
01.08.2017-17:00,3.7,0,1012.5,111.3,17.3,73,6453.3332
01.08.2017-18:00,4.7,0,1012.2,85.4,17.1,78,1315.0
01.08.2017-19:00,3.6,0,1011.9,86.7,17.1,75,1245.0
01.08.2017-20:00,2.6,0,1012.0,22.4,16.6,82,512.0001
01.08.2017-21:00,3.2,0,1011.6,-0.2,16.2,79,35.6667
01.08.2017-22:00,3.8,0,1011.7,-6.6,15.9,88,0.0
01.08.2017-23:00,2.7,0,1011.4,-6.8,15.1,90,0.0
02.08.2017-00:00,3.0,0,1010.8,-6.8,15.1,91,0.0
02.08.2017-01:00,2.0,0,1010.5,-7.3,14.2,95,0.0
02.08.2017-02:00,1.6,0,1009.9,-8.2,13.2,98,0.0
02.08.2017-03:00,0.2,0,1009.8,-8.1,12.4,98,0.0
02.08.2017-04:00,1.0,0,1009.6,-6.5,11.7,100,0.0
02.08.2017-05:00,2.1,0,1009.6,-4.0,13.4,100,0.0
02.08.2017-06:00,2.6,0,1009.3,1.8,13.2,100,0.0
02.08.2017-07:00,1.5,0,1009.3,34.6,13.7,99,0.0
02.08.2017-08:00,3.7,0,1009.3,26.8,13.6,96,449.0
02.08.2017-09:00,2.5,12,1009.1,250.6,15.4,91,561.3333
02.08.2017-10:00,2.5,9,1009.1,293.7,16.4,82,1760.1666
02.08.2017-11:00,2.9,26,1008.7,425.2,16.5,78,3703.6666
