Date-Hour(NMT),WindSpeed,Sunshine,AirPressure,Radiation,AirTemperature,RelativeAirHumidity,SystemProduction
04.06.2017-12:00,1.7,0,1007.3,47.9,12.9,100,441.5
04.06.2017-13:00,3.4,0,1006.9,52.3,12.7,100,447.3334
04.06.2017-14:00,2.1,0,1006.5,79.0,12.6,99,1003.8333
04.06.2017-15:00,2.1,0,1006.2,46.2,12.2,98,649.0
04.06.2017-16:00,1.3,0,1005.8,48.4,12.4,98,195.0001
04.06.2017-17:00,1.8,0,1005.1,71.6,12.7,96,347.1667
04.06.2017-18:00,3.0,0,1004.7,20.6,12.6,98,290.3334
04.06.2017-19:00,2.0,0,1004.4,23.3,12.7,100,85.8334
04.06.2017-20:00,1.6,0,1003.9,28.6,12.9,100,38.8333
04.06.2017-21:00,2.2,0,1003.6,1.0,12.8,100,112.9999
04.06.2017-22:00,2.3,0,1003.4,-3.7,12.5,100,50.0833
04.06.2017-23:00,1.9,0,1003.1,-5.5,12.4,100,0.0
05.06.2017-00:00,1.0,0,1002.8,-6.1,12.2,100,0.0
05.06.2017-01:00,1.5,0,1002.6,-6.4,12.2,100,0.0
05.06.2017-02:00,1.4,0,1002.4,-6.9,11.6,100,0.0
05.06.2017-03:00,2.1,0,1002.4,-6.3,9.8,100,0.0
05.06.2017-04:00,0.9,2,1002.5,4.4,8.6,100,0.0
05.06.2017-05:00,1.4,29,1002.5,60.4,9.3,100,0.0
05.06.2017-06:00,2.2,60,1002.5,198.7,11.6,84,0.0
05.06.2017-07:00,1.9,30,1002.9,269.2,12.9,80,327.0
05.06.2017-08:00,1.7,60,1003.1,545.4,15.5,64,1068.8333
05.06.2017-09:00,2.0,60,1003.1,581.9,16.4,54,2272.5
05.06.2017-10:00,2.4,52,1003.2,601.9,16.1,50,2285.8334
05.06.2017-11:00,2.9,51,1003.3,746.1,17.3,50,4409.4999
05.06.2017-12:00,3.9,49,1003.3,778.7,17.7,47,4878.6667
05.06.2017-13:00,5.1,37,1003.4,656.9,17.9,47,5325.8335
05.06.2017-14:00,3.8,34,1003.6,502.4,16.9,53,6764.3332
05.06.2017-15:00,4.1,21,1003.6,383.6,16.2,52,7452.5
05.06.2017-16:00,1.5,11,1003.6,270.0,17.5,50,5877.8332
05.06.2017-17:00,4.8,60,1003.1,543.1,18.5,49,3389.8334
05.06.2017-18:00,5.2,60,1002.9,380.2,17.5,54,3992.6666
05.06.2017-19:00,4.5,20,1003.3,144.4,16.1,61,2586.0
05.06.2017-20:00,4.0,4,1003.9,45.4,14.9,69,903.5
05.06.2017-21:00,3.8,0,1004.3,22.2,14.1,73,220.5
05.06.2017-22:00,3.9,0,1004.8,-2.6,13.0,81,44.8333
05.06.2017-23:00,4.1,0,1004.9,-5.6,12.8,86,0.0
06.06.2017-00:00,3.7,0,1004.9,-5.4,12.7,87,0.0
06.06.2017-01:00,4.3,0,1005.0,-5.6,12.4,88,0.0
06.06.2017-02:00,3.8,0,1005.3,-6.6,11.9,95,0.0
06.06.2017-03:00,2.6,0,1005.0,-5.5,11.7,98,0.0
06.06.2017-04:00,2.8,0,1005.0,-3.4,11.5,96,0.0
06.06.2017-05:00,2.2,0,1005.1,0.1,11.5,98,0.0
06.06.2017-06:00,3.2,0,1005.5,16.1,11.9,98,0.0
06.06.2017-07:00,3.0,0,1005.8,70.7,12.5,95,265.6666
06.06.2017-08:00,2.1,6,1006.0,197.1,13.8,91,871.3334
06.06.2017-09:00,3.1,3,1006.4,183.2,14.1,84,1289.8334
06.06.2017-10:00,2.4,0,1006.9,51.1,13.9,83,1186.8333
06.06.2017-11:00,3.4,0,1006.9,146.9,14.8,80,399.6667
06.06.2017-12:00,3.2,6,1007.0,433.1,16.5,70,1419.6667
06.06.2017-13:00,4.2,42,1006.7,704.7,18.6,59,2862.6666
06.06.2017-14:00,4.4,59,1006.2,767.4,19.3,57,3590.3334
06.06.2017-15:00,2.3,34,1006.3,464.0,18.6,56,2123.3333
06.06.2017-16:00,3.0,1,1006.0,243.8,18.6,49,2761.3334
06.06.2017-17:00,0.8,6,1005.5,213.3,19.3,47,2123.8334
06.06.2017-18:00,2.9,0,1005.2,128.7,17.7,56,1129.6667
06.06.2017-19:00,3.0,0,1005.1,36.1,16.5,68,709.1667
06.06.2017-20:00,1.8,0,1005.5,0.7,15.2,79,355.6666
06.06.2017-21:00,2.9,0,1005.2,-5.6,15.5,79,1.6667
06.06.2017-22:00,1.8,0,1005.6,-6.9,15.7,76,0.0
06.06.2017-23:00,3.6,0,1005.2,-7.0,16.0,69,0.0
07.06.2017-00:00,3.3,0,1004.9,-7.6,16.4,62,0.0
07.06.2017-01:00,2.2,0,1005.2,-7.3,15.9,60,0.0
07.06.2017-02:00,3.2,0,1005.1,-7.1,15.5,60,0.0
07.06.2017-03:00,4.4,0,1004.6,-6.2,14.6,64,0.0
07.06.2017-04:00,5.5,0,1004.5,8.8,14.3,61,0.0
07.06.2017-05:00,6.0,0,1004.0,43.5,14.2,60,25.0
07.06.2017-06:00,6.5,0,1003.4,37.9,14.3,61,191.1666
07.06.2017-07:00,6.9,11,1002.8,137.8,14.8,62,323.8334
07.06.2017-08:00,6.1,0,1002.0,75.5,15.0,61,623.5001
07.06.2017-09:00,5.9,0,1001.8,42.7,14.7,66,475.6667
07.06.2017-10:00,7.1,0,1000.9,68.7,14.8,66,370.3333
07.06.2017-11:00,6.9,0,1000.0,81.2,14.0,77,576.6667
07.06.2017-12:00,7.9,0,998.3,94.3,13.3,84,516.0
07.06.2017-13:00,7.5,0,998.4,56.4,13.1,86,549.6667
07.06.2017-14:00,7.1,0,998.3,53.2,13.2,88,286.6666
07.06.2017-15:00,5.9,0,998.1,78.7,13.0,92,275.1667
07.06.2017-16:00,5.4,0,998.0,122.1,12.8,94,819.5
07.06.2017-17:00,3.0,0,999.7,54.0,10.9,96,1163.0
07.06.2017-18:00,1.9,0,1000.3,50.0,11.6,95,468.3333
07.06.2017-19:00,2.1,0,1000.8,17.6,12.0,94,856.1667
07.06.2017-20:00,2.2,0,1001.2,22.8,12.5,89,998.6667
07.06.2017-21:00,3.3,0,1001.6,4.6,12.5,89,87.6667
07.06.2017-22:00,3.6,0,1001.9,-5.3,12.2,88,0.0
07.06.2017-23:00,4.3,0,1001.8,-6.1,12.2,85,0.0
08.06.2017-00:00,2.9,0,1001.7,-6.3,11.6,87,0.0
08.06.2017-01:00,4.3,0,1001.8,-6.7,11.4,88,0.0
08.06.2017-02:00,3.6,0,1001.9,-7.1,11.1,90,0.0
08.06.2017-03:00,3.5,0,1002.2,-6.9,11.0,92,0.0
08.06.2017-04:00,2.7,0,1002.4,-4.7,11.3,89,0.0
08.06.2017-05:00,4.2,0,1002.6,4.0,11.2,91,0.0
08.06.2017-06:00,2.5,0,1003.0,11.0,10.9,96,0.0
08.06.2017-07:00,2.9,0,1003.5,39.6,11.9,88,63.1667
08.06.2017-08:00,4.4,0,1003.8,126.0,12.8,81,745.3333
08.06.2017-09:00,3.3,0,1004.4,211.2,13.1,80,1338.8333
08.06.2017-10:00,3.5,10,1004.6,348.1,13.8,78,1531.8334
08.06.2017-11:00,3.1,1,1005.2,323.8,13.3,85,1593.6666
08.06.2017-12:00,3.4,16,1005.3,469.3,14.8,75,2620.0
08.06.2017-13:00,2.7,14,1005.7,513.6,14.9,74,2658.6667
08.06.2017-14:00,2.3,0,1006.1,269.0,14.8,72,2635.8332
08.06.2017-15:00,2.5,0,1006.8,139.3,13.6,87,2519.0
08.06.2017-16:00,0.4,0,1007.0,119.4,13.1,93,2306.0001
08.06.2017-17:00,1.5,18,1006.9,248.0,14.6,83,1559.8333
08.06.2017-18:00,1.7,42,1006.9,423.3,15.4,78,2385.9999
08.06.2017-19:00,1.0,11,1007.3,120.0,15.4,77,1025.3334
08.06.2017-20:00,2.6,3,1008.0,73.7,14.1,84,397.5001
08.06.2017-21:00,2.4,0,1008.7,7.9,13.5,90,164.1667
08.06.2017-22:00,3.0,0,1009.3,-4.3,12.5,85,0.0
08.06.2017-23:00,2.8,0,1009.8,-5.6,12.0,86,0.0
09.06.2017-00:00,2.4,0,1010.1,-6.1,11.6,87,0.0
09.06.2017-01:00,1.6,0,1010.1,-6.2,11.1,89,0.0
09.06.2017-02:00,2.0,0,1010.1,-6.2,10.6,90,0.0
09.06.2017-03:00,1.2,0,1010.1,-5.4,10.3,91,0.0
09.06.2017-04:00,1.8,0,1010.2,0.4,10.5,89,0.0
09.06.2017-05:00,1.2,0,1010.2,24.8,10.6,90,0.0
09.06.2017-06:00,2.0,0,1010.4,35.8,11.1,90,139.8333
09.06.2017-07:00,2.5,0,1010.7,52.4,10.9,94,292.6668
09.06.2017-08:00,2.0,0,1011.2,39.1,10.5,96,464.5
09.06.2017-09:00,2.4,0,1011.2,91.2,10.8,97,338.3334
09.06.2017-10:00,0.6,0,1011.7,71.7,11.3,94,909.5
09.06.2017-11:00,1.2,0,1011.9,80.4,11.7,96,822.3333
09.06.2017-12:00,1.4,0,1012.0,131.1,12.1,99,669.6667
09.06.2017-13:00,0.9,0,1012.1,158.4,13.4,93,1036.5
09.06.2017-14:00,2.0,0,1012.1,100.2,13.1,96,1007.5
09.06.2017-15:00,1.2,0,1012.3,135.5,13.6,96,1613.3333
09.06.2017-16:00,1.5,0,1012.0,109.8,14.1,93,944.1667
09.06.2017-17:00,2.1,0,1011.9,78.5,14.2,94,652.4999
09.06.2017-18:00,2.6,4,1011.5,193.5,14.9,90,1042.0
09.06.2017-19:00,2.4,0,1011.5,32.8,14.5,94,449.1666
09.06.2017-20:00,2.8,0,1011.3,10.1,13.8,97,205.5
09.06.2017-21:00,3.3,0,1011.1,1.5,13.7,96,16.1667
09.06.2017-22:00,3.8,0,1010.9,-4.7,13.4,97,0.0
09.06.2017-23:00,5.1,0,1010.2,-4.2,13.2,98,0.0
10.06.2017-00:00,3.9,0,1009.7,-4.2,13.2,99,0.0
10.06.2017-01:00,4.9,0,1009.1,-4.3,13.6,97,0.0
10.06.2017-02:00,4.3,0,1008.5,-5.3,13.7,98,0.0
10.06.2017-03:00,4.4,0,1008.0,-4.8,14.3,98,0.0
10.06.2017-04:00,4.2,0,1007.3,-4.2,14.8,95,0.0
10.06.2017-05:00,3.8,0,1007.3,-1.7,14.5,98,0.0
10.06.2017-06:00,3.9,0,1007.2,10.0,14.4,97,0.0
10.06.2017-07:00,2.8,0,1007.6,17.4,14.1,98,0.0
10.06.2017-08:00,2.5,0,1008.3,55.8,14.3,97,81.3333
10.06.2017-09:00,3.7,0,1008.9,59.7,13.8,92,559.8333
10.06.2017-10:00,3.2,0,1009.6,95.8,14.0,88,1452.0
10.06.2017-11:00,4.5,0,1010.1,73.7,14.1,86,1245.0
10.06.2017-12:00,5.2,0,1010.3,171.1,14.9,81,1716.8333
10.06.2017-13:00,4.1,0,1010.4,98.0,15.5,82,2037.6667
10.06.2017-14:00,4.3,0,1010.9,53.0,15.2,87,3647.0001
10.06.2017-15:00,5.9,0,1011.1,183.9,16.3,77,2732.3333
10.06.2017-16:00,5.0,1,1011.8,115.9,14.8,86,1824.3333
10.06.2017-17:00,2.4,0,1011.8,46.2,13.9,97,2029.6666
10.06.2017-18:00,2.8,0,1012.0,64.0,14.4,94,778.3333
10.06.2017-19:00,2.0,0,1012.1,60.6,14.5,91,700.0
10.06.2017-20:00,2.3,0,1012.1,28.8,14.4,92,202.5
10.06.2017-21:00,1.8,0,1012.5,6.4,14.0,93,84.1666
10.06.2017-22:00,2.8,0,1012.6,-4.0,13.6,93,29.4583
10.06.2017-23:00,2.7,0,1012.6,-5.4,13.2,94,0.0
11.06.2017-00:00,2.7,0,1012.8,-5.5,13.1,95,0.0
11.06.2017-01:00,2.4,0,1012.6,-5.8,12.9,97,0.0
11.06.2017-02:00,1.9,0,1012.5,-5.8,12.9,97,0.0
11.06.2017-03:00,1.8,0,1012.2,-4.2,12.9,97,0.0
11.06.2017-04:00,2.0,0,1011.4,9.2,12.9,96,0.0
11.06.2017-05:00,2.8,0,1011.6,27.3,12.7,96,0.0
11.06.2017-06:00,1.6,0,1011.4,21.2,12.6,97,0.0
11.06.2017-07:00,2.9,0,1011.3,65.8,12.8,97,183.9999
11.06.2017-08:00,2.4,0,1010.6,137.9,13.6,97,779.6667
11.06.2017-09:00,2.6,0,1010.4,117.7,13.9,89,1331.0
11.06.2017-10:00,2.8,0,1010.4,54.4,13.2,92,1073.0
11.06.2017-11:00,4.1,0,1010.2,36.2,12.4,98,1129.3333
11.06.2017-12:00,3.1,0,1009.3,39.6,12.4,100,769.0
11.06.2017-13:00,2.1,0,1008.5,52.6,12.8,99,835.5
11.06.2017-14:00,3.5,0,1007.5,50.2,13.2,99,675.4999
11.06.2017-15:00,3.0,0,1006.5,40.2,13.5,99,346.1668
